arquivo;modelo;url
ARRIZO_6_PRO.PNG;ARRIZO_6_PRO;https://raw.githubusercontent.com/rogersalles/car_models/main/ARRIZO_6_PRO.PNG
ASDADG.PNG;ASDADG;https://raw.githubusercontent.com/rogersalles/car_models/main/ASDADG.PNG
ASTRA.PNG;ASTRA;https://raw.githubusercontent.com/rogersalles/car_models/main/ASTRA.PNG
ASX.PNG;ASX;https://raw.githubusercontent.com/rogersalles/car_models/main/ASX.PNG
AUDI_A1.PNG;AUDI_A1;https://raw.githubusercontent.com/rogersalles/car_models/main/AUDI_A1.PNG
AUDI_A3.PNG;AUDI_A3;https://raw.githubusercontent.com/rogersalles/car_models/main/AUDI_A3.PNG
AUDI_A4.PNG;AUDI_A4;https://raw.githubusercontent.com/rogersalles/car_models/main/AUDI_A4.PNG
AUDI_A5.PNG;AUDI_A5;https://raw.githubusercontent.com/rogersalles/car_models/main/AUDI_A5.PNG
AUDI_A6.PNG;AUDI_A6;https://raw.githubusercontent.com/rogersalles/car_models/main/AUDI_A6.PNG
AUDI_A7.PNG;AUDI_A7;https://raw.githubusercontent.com/rogersalles/car_models/main/AUDI_A7.PNG
AUDI_Q3.PNG;AUDI_Q3;https://raw.githubusercontent.com/rogersalles/car_models/main/AUDI_Q3.PNG
AUDI_Q5.PNG;AUDI_Q5;https://raw.githubusercontent.com/rogersalles/car_models/main/AUDI_Q5.PNG
AVENGER.PNG;AVENGER;https://raw.githubusercontent.com/rogersalles/car_models/main/AVENGER.PNG
AVEO.PNG;AVEO;https://raw.githubusercontent.com/rogersalles/car_models/main/AVEO.PNG
AZERA.PNG;AZERA;https://raw.githubusercontent.com/rogersalles/car_models/main/AZERA.PNG
BIZ.PNG;BIZ;https://raw.githubusercontent.com/rogersalles/car_models/main/BIZ.PNG
BIZ_110I.PNG;BIZ_110I;https://raw.githubusercontent.com/rogersalles/car_models/main/BIZ_110I.PNG
BIZ_110I_ES.PNG;BIZ_110I_ES;https://raw.githubusercontent.com/rogersalles/car_models/main/BIZ_110I_ES.PNG
BIZ_125_ES.PNG;BIZ_125_ES;https://raw.githubusercontent.com/rogersalles/car_models/main/BIZ_125_ES.PNG
BIZ_125_EX.PNG;BIZ_125_EX;https://raw.githubusercontent.com/rogersalles/car_models/main/BIZ_125_EX.PNG
BIZ_EX.PNG;BIZ_EX;https://raw.githubusercontent.com/rogersalles/car_models/main/BIZ_EX.PNG
BLAZER-1.PNG;BLAZER-1;https://raw.githubusercontent.com/rogersalles/car_models/main/BLAZER-1.PNG
BLAZER.PNG;BLAZER;https://raw.githubusercontent.com/rogersalles/car_models/main/BLAZER.PNG
BLAZER_ADVANTAGE.PNG;BLAZER_ADVANTAGE;https://raw.githubusercontent.com/rogersalles/car_models/main/BLAZER_ADVANTAGE.PNG
BLAZER_EV-1.PNG;BLAZER_EV-1;https://raw.githubusercontent.com/rogersalles/car_models/main/BLAZER_EV-1.PNG
BLAZER_EV_RS.PNG;BLAZER_EV_RS;https://raw.githubusercontent.com/rogersalles/car_models/main/BLAZER_EV_RS.PNG
BMW.PNG;BMW;https://raw.githubusercontent.com/rogersalles/car_models/main/BMW.PNG
BMW_F_750_GS.PNG;BMW_F_750_GS;https://raw.githubusercontent.com/rogersalles/car_models/main/BMW_F_750_GS.PNG
BMW_X2.PNG;BMW_X2;https://raw.githubusercontent.com/rogersalles/car_models/main/BMW_X2.PNG
BMW_X3.PNG;BMW_X3;https://raw.githubusercontent.com/rogersalles/car_models/main/BMW_X3.PNG
BOLT.PNG;BOLT;https://raw.githubusercontent.com/rogersalles/car_models/main/BOLT.PNG
BOLT_EUV.PNG;BOLT_EUV;https://raw.githubusercontent.com/rogersalles/car_models/main/BOLT_EUV.PNG
BOLT_EV.PNG;BOLT_EV;https://raw.githubusercontent.com/rogersalles/car_models/main/BOLT_EV.PNG
BOS.PNG;BOS;https://raw.githubusercontent.com/rogersalles/car_models/main/BOS.PNG
BRAVO.PNG;BRAVO;https://raw.githubusercontent.com/rogersalles/car_models/main/BRAVO.PNG
BRAVO_SPORTING.PNG;BRAVO_SPORTING;https://raw.githubusercontent.com/rogersalles/car_models/main/BRAVO_SPORTING.PNG
BRONCO-1.PNG;BRONCO-1;https://raw.githubusercontent.com/rogersalles/car_models/main/BRONCO-1.PNG
BRONCO.PNG;BRONCO;https://raw.githubusercontent.com/rogersalles/car_models/main/BRONCO.PNG
BRONCO_SPORT-1.PNG;BRONCO_SPORT-1;https://raw.githubusercontent.com/rogersalles/car_models/main/BRONCO_SPORT-1.PNG
BRONCO_SPORT.PNG;BRONCO_SPORT;https://raw.githubusercontent.com/rogersalles/car_models/main/BRONCO_SPORT.PNG
BRONCO_SPORT_WILDTRAK.PNG;BRONCO_SPORT_WILDTRAK;https://raw.githubusercontent.com/rogersalles/car_models/main/BRONCO_SPORT_WILDTRAK.PNG
BROS-1.PNG;BROS-1;https://raw.githubusercontent.com/rogersalles/car_models/main/BROS-1.PNG
BROS.PNG;BROS;https://raw.githubusercontent.com/rogersalles/car_models/main/BROS.PNG
BYD.PNG;BYD;https://raw.githubusercontent.com/rogersalles/car_models/main/BYD.PNG
BYD_DOLPHIN.PNG;BYD_DOLPHIN;https://raw.githubusercontent.com/rogersalles/car_models/main/BYD_DOLPHIN.PNG
C180.PNG;C180;https://raw.githubusercontent.com/rogersalles/car_models/main/C180.PNG
C3-1.PNG;C3-1;https://raw.githubusercontent.com/rogersalles/car_models/main/C3-1.PNG
C3.PNG;C3;https://raw.githubusercontent.com/rogersalles/car_models/main/C3.PNG
C3_AIRCROSS-1.PNG;C3_AIRCROSS-1;https://raw.githubusercontent.com/rogersalles/car_models/main/C3_AIRCROSS-1.PNG
C3_EXCLUSIVE.PNG;C3_EXCLUSIVE;https://raw.githubusercontent.com/rogersalles/car_models/main/C3_EXCLUSIVE.PNG
C3_PICASSO.PNG;C3_PICASSO;https://raw.githubusercontent.com/rogersalles/car_models/main/C3_PICASSO.PNG
C3_TENDANCE.PNG;C3_TENDANCE;https://raw.githubusercontent.com/rogersalles/car_models/main/C3_TENDANCE.PNG
C4-1.PNG;C4-1;https://raw.githubusercontent.com/rogersalles/car_models/main/C4-1.PNG
C4.PNG;C4;https://raw.githubusercontent.com/rogersalles/car_models/main/C4.PNG
C40.PNG;C40;https://raw.githubusercontent.com/rogersalles/car_models/main/C40.PNG
C4_CACTUS-1.PNG;C4_CACTUS-1;https://raw.githubusercontent.com/rogersalles/car_models/main/C4_CACTUS-1.PNG
C4_CACTUS_FEEL.PNG;C4_CACTUS_FEEL;https://raw.githubusercontent.com/rogersalles/car_models/main/C4_CACTUS_FEEL.PNG
C4_CACTUS_LIVE.PNG;C4_CACTUS_LIVE;https://raw.githubusercontent.com/rogersalles/car_models/main/C4_CACTUS_LIVE.PNG
C4_LOUNGE_TENDANCE.PNG;C4_LOUNGE_TENDANCE;https://raw.githubusercontent.com/rogersalles/car_models/main/C4_LOUNGE_TENDANCE.PNG
C_180-1.PNG;C_180-1;https://raw.githubusercontent.com/rogersalles/car_models/main/C_180-1.PNG
C_200.PNG;C_200;https://raw.githubusercontent.com/rogersalles/car_models/main/C_200.PNG
C_250.PNG;C_250;https://raw.githubusercontent.com/rogersalles/car_models/main/C_250.PNG
CAMARO.PNG;CAMARO;https://raw.githubusercontent.com/rogersalles/car_models/main/CAMARO.PNG
CAMARO_SS.PNG;CAMARO_SS;https://raw.githubusercontent.com/rogersalles/car_models/main/CAMARO_SS.PNG
CAOA_CHERY.PNG;CAOA_CHERY;https://raw.githubusercontent.com/rogersalles/car_models/main/CAOA_CHERY.PNG
CAPITIVA.PNG;CAPITIVA;https://raw.githubusercontent.com/rogersalles/car_models/main/CAPITIVA.PNG
CAPTIVA.PNG;CAPTIVA;https://raw.githubusercontent.com/rogersalles/car_models/main/CAPTIVA.PNG
CAPTIVA_EV-1.PNG;CAPTIVA_EV-1;https://raw.githubusercontent.com/rogersalles/car_models/main/CAPTIVA_EV-1.PNG
CAPTIVA_SPORT.PNG;CAPTIVA_SPORT;https://raw.githubusercontent.com/rogersalles/car_models/main/CAPTIVA_SPORT.PNG
CAPTUR-1.PNG;CAPTUR-1;https://raw.githubusercontent.com/rogersalles/car_models/main/CAPTUR-1.PNG
CAPTUR-2.PNG;CAPTUR-2;https://raw.githubusercontent.com/rogersalles/car_models/main/CAPTUR-2.PNG
CAPTUR.PNG;CAPTUR;https://raw.githubusercontent.com/rogersalles/car_models/main/CAPTUR.PNG
CAPTUR_INTENSE.PNG;CAPTUR_INTENSE;https://raw.githubusercontent.com/rogersalles/car_models/main/CAPTUR_INTENSE.PNG
